# Measure raw data (C) NeU Corporation. 2023. All rights reserved,,,,,,,,,,,,,,,,,,,,,,
# Raw data export format,,,,,,,,,,,,,,,,,,,,,,
# Ver 3.00,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,
# Sensor Informations,,,,,,,,,,,,,,,,,,,,,,
# Type,HOT-2000,,,,,,,,,,,,,,,,,,,,,
# ID,C0:84:18:33:34:4B,,,,,,,,,,,,,,,,,,,,,
# Version,2023072701,,,,,,,,,,,,,,,,,,,,,
# Connection,Bluetooth,,,,,,,,,,,,,,,,,,,,,
# Gain,16,38,14,29,,,,,,,,,,,,,,,,,,
# Average,1975,1796,1921,1825,,,,,,,,,,,,,,,,,,
# HbT Offset,3.56934093779999,2.9489530791261,3.59934102735344,3.66750668700132,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,
# Device time,Headset time,HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),Saturation(left SD1cm),saturation(left SD3cm),Saturation(right SD1cm),saturation(right SD3cm),Noise detection flag,Mark,Accerelo-X,Accerelo-Y,Accerelo-Z,Gyro-X, Gyro-Y, Gyro-Z,Battery-Volt, Battery-Remain
2025/07/05 09:42:07.442,1.6,0.0444568933249777,0.108885339835995,0,0.0627046081822784,0.163362033275674,0.0251383130102374,0.0613818441434342,0,0,0,0,0, ,-0.96435546875,0.0244140625,-0.05712890625,-14.5263671875,-13.24462890625,-13.85498046875,4.06,88
2025/07/05 09:42:07.542,1.7,0.0473325131356241,0.109679618948836,0,0.15954759334476,0.318144545293983,0.10388009667759,0.236838440585277,0,0,0,0,0, ,-1.0087890625,0.06787109375,0.01171875,-48.76708984375,-12.0849609375,-21.3623046875,4.06,88
2025/07/05 09:42:07.642,1.8,0.0500231230135634,0.110715506402524,0,0.208681683371546,0.453705759819687,0.170891407990606,0.290429520886828,0,0,0,0,0, ,-1.013671875,0.08447265625,0.0361328125,-36.80419921875,-4.33349609375,-16.4794921875,4.06,88
2025/07/05 09:42:07.742,1.9,0.0523158685515194,0.112287241162233,0,0.193113430237134,0.610427696166103,0.163113340683684,0.274291798672967,0,0,0,0,0, ,-0.99560546875,0.02587890625,0.0322265625,-17.333984375,-5.43212890625,-13.24462890625,4.06,88
2025/07/05 09:42:07.842,2.0,0.0544951338914706,0.113701802445971,0,0.162121595937253,0.670488477511146,0.152761370266398,0.27160723489009,0,0,0,0,0, ,-1.0029296875,-0.0224609375,0.05078125,-12.51220703125,-5.126953125,-11.3525390625,4.06,88
2025/07/05 09:42:07.942,2.1,0.0585649037549543,0.114798915072304,0,0.126205587754981,0.690670139322718,0.13985147431171,0.242171774344817,0,0,0,0,0, ,-1.005859375,-0.04296875,0.05517578125,-9.58251953125,-4.45556640625,-8.85009765625,4.06,88
2025/07/05 09:42:08.042,2.2,0.0674756743035383,0.114617766330932,0,0.0829373112604657,0.756828864384974,0.12954750379131,0.218216445407854,0,0,0,0,0, ,-1.00390625,-0.06201171875,0.0576171875,-7.26318359375,-3.662109375,-8.23974609375,4.06,88
2025/07/05 09:42:08.142,2.3,0.0825763840863879,0.114341001149864,0,0.0249875578800141,0.767085278084929,0.10900304786909,0.175910535262595,0,0,0,0,0, ,-0.99755859375,-0.07373046875,0.0478515625,-3.90625,-1.77001953125,-5.55419921875,4.06,88
2025/07/05 09:42:08.242,2.4,0.101464311304909,0.113980462119273,0,0.0174781698469588,0.810911286301701,0.114131253370426,0.197018745717199,0,0,0,0,0, ,-1.0029296875,-0.0908203125,0.05419921875,3.96728515625,-2.13623046875,-4.0283203125,4.06,88
2025/07/05 09:42:08.342,2.5,0.119784977839127,0.113613468371044,0,0.115991079758188,0.971409146809506,0.178681593818096,0.35005082264708,0,0,0,0,0, ,-1.00537109375,-0.0947265625,0.05224609375,6.28662109375,-0.42724609375,-3.11279296875,4.06,88
